Car_seats,modelYear,kilometer,ownerNo,price,engine_cc,gear_box,Mileage,bodytype_encoded,transmission_encoded,fueltype_Cng,fueltype_Diesel,fueltype_Electric,fueltype_Lpg,fueltype_Petrol,Insurance_Comprehensive,Insurance_Not Available,Insurance_Third Party,Insurance_Third Party insurance,Insurance_Zero Dep,oem_Audi,oem_BMW,oem_Chevrolet,oem_Citroen,oem_Datsun,oem_Fiat,oem_Ford,oem_Hindustan Motors,oem_Honda,oem_Hyundai,oem_Isuzu,oem_Jaguar,oem_Jeep,oem_Kia,oem_Land Rover,oem_Lexus,oem_MG,oem_Mahindra,oem_Maruti,oem_Mercedes-Benz,oem_Mini,oem_Mitsubishi,oem_Nissan,oem_Opel,oem_Porsche,oem_Renault,oem_Skoda,oem_Ssangyong,oem_Tata,oem_Toyota,oem_Volkswagen,oem_Volvo,drivetype_4WD,drivetype_AWD,drivetype_FWD,drivetype_RWD,city_bangalore,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata
5,2019,37741,2,930000,1496,5,15,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2021,17367,1,455000,796,5,22,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2017,94000,1,1195000,1582,6,19,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2021,33700,1,2175000,1956,6,14,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2014,54601,3,442000,1197,5,22,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2018,110000,1,690000,1248,5,28,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2017,64000,2,500000,998,5,23,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2016,40525,1,3395000,1995,8,21,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,2015,100000,1,650000,1248,5,26,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2016,44154,2,537000,1199,5,19,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
