bodytype,Car_seats,modelYear,kilometer,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,gear_box,Mileage,drivetype,city
SUV,5.0,2019,37741,Petrol,2,Manual,930000,Third Party insurance,1496.0,Ford,5,15.9,FWD,bangalore
Hatchback,5.0,2021,17367,Petrol,1,Manual,455000,Comprehensive,796.0,Maruti,5,22.05,FWD,bangalore
SUV,5.0,2017,94000,Diesel,1,Manual,1195000,Comprehensive,1582.0,Hyundai,6,19.67,FWD,bangalore
SUV,5.0,2021,33700,Diesel,1,Automatic,2175000,Comprehensive,1956.0,Tata,6,14.6,FWD,bangalore
Hatchback,5.0,2014,54601,Petrol,3,Manual,442000,Comprehensive,1197.0,Maruti,5,22.38,FWD,bangalore
Hatchback,5.0,2018,110000,Diesel,1,Manual,690000,Third Party insurance,1248.0,Maruti,5,28.4,FWD,bangalore
Hatchback,5.0,2017,64000,Petrol,2,Manual,500000,Third Party,998.0,Maruti,5,23.1,FWD,bangalore
Sedan,5.0,2016,40525,Diesel,1,Automatic,3395000,Comprehensive,1995.0,BMW,8,21.76,RWD,bangalore
Sedan,5.0,2015,100000,Diesel,1,Manual,650000,Third Party insurance,1248.0,Maruti,5,26.21,FWD,bangalore
Hatchback,5.0,2016,44154,Petrol,2,Automatic,537000,Comprehensive,1199.0,Honda,5,19.0,FWD,bangalore
MUV,7.0,2016,70000,Diesel,1,Manual,750000,Third Party insurance,1461.0,Renault,6,19.98,FWD,bangalore
Sedan,5.0,2018,79000,Petrol,1,Automatic,1789999,Comprehensive,1798.0,Skoda,7,15.1,FWD,bangalore
Hatchback,5.0,2017,68039,Petrol,2,Manual,468000,Third Party insurance,1199.0,Tata,5,23.84,FWD,bangalore
Hatchback,5.0,2014,60000,Petrol,2,Manual,420000,Third Party insurance,1197.0,Maruti,5,18.5,FWD,bangalore
Hatchback,5.0,2014,60000,Petrol,2,Manual,420000,Third Party insurance,1197.0,Maruti,5,18.5,FWD,bangalore
Hatchback,5.0,2021,10000,Petrol,1,Manual,919999,Third Party insurance,998.0,Hyundai,6,20.0,FWD,bangalore
Sedan,5.0,2013,49873,Petrol,1,Manual,533000,Third Party,1497.0,Honda,5,16.8,FWD,bangalore
Hatchback,5.0,2013,90000,Petrol,3,Automatic,850000,Third Party insurance,1197.0,Volkswagen,7,17.2,FWD,bangalore
Sedan,5.0,2017,48960,Diesel,2,Manual,751000,Third Party insurance,1498.0,Skoda,5,21.13,FWD,bangalore
Hatchback,5.0,2014,70000,Diesel,2,Manual,388000,Third Party insurance,1120.0,Hyundai,5,24.0,FWD,bangalore
Hatchback,5.0,2013,68000,Petrol,2,Manual,490000,Comprehensive,1197.0,Hyundai,5,18.5,FWD,bangalore
SUV,6.0,2016,23017,Diesel,1,Manual,494000,Third Party,1198.0,Mahindra,5,25.32,FWD,bangalore
Hatchback,5.0,2013,83000,Diesel,2,Manual,525000,Comprehensive,1396.0,Hyundai,6,21.27,FWD,bangalore
SUV,5.0,2016,92000,Diesel,2,Automatic,2890000,Comprehensive,1995.0,BMW,8,16.55,4WD,bangalore
Hatchback,5.0,2018,62139,Petrol,1,Manual,550000,Comprehensive,998.0,Maruti,5,20.51,FWD,bangalore
Hatchback,5.0,2013,74000,Lpg,1,Manual,365000,Comprehensive,1086.0,Hyundai,5,19.2,FWD,bangalore
Hatchback,5.0,2016,26500,Petrol,2,Automatic,420000,Comprehensive,999.0,Renault,5,24.04,FWD,bangalore
Sedan,5.0,2017,81716,Diesel,1,Automatic,1895000,Comprehensive,1969.0,Volvo,8,27.03,FWD,bangalore
Sedan,5.0,2018,24000,Diesel,2,Automatic,5990000,Comprehensive,2987.0,Mercedes-Benz,9,17.0,RWD,bangalore
SUV,5.0,2022,10000,Petrol,1,Automatic,1050000,Third Party insurance,1197.0,Mahindra,6,17.0,FWD,bangalore
SUV,6.0,2021,18000,Petrol,1,Automatic,2075000,Comprehensive,1451.0,MG,6,16.56,FWD,bangalore
Hatchback,5.0,2013,38197,Petrol,1,Manual,394000,Third Party,1198.0,Honda,5,19.4,FWD,bangalore
Hatchback,5.0,2017,23000,Petrol,2,Automatic,725000,Comprehensive,1197.0,Maruti,5,19.56,FWD,bangalore
Hatchback,5.0,2013,50000,Petrol,1,Manual,240000,Third Party insurance,998.0,Maruti,5,20.92,FWD,bangalore
SUV,5.0,2022,10000,Petrol,1,Automatic,835000,Third Party insurance,999.0,Renault,5,19.03,FWD,bangalore
Hatchback,5.0,2019,19000,Petrol,1,Manual,695000,Third Party insurance,1197.0,Hyundai,5,18.9,FWD,bangalore
SUV,5.0,2020,14000,Petrol,1,Automatic,1725000,Comprehensive,1353.0,Kia,7,16.5,FWD,bangalore
Hatchback,5.0,2014,29268,Petrol,1,Manual,330000,Comprehensive,814.0,Hyundai,5,21.1,FWD,bangalore
Sedan,5.0,2019,20000,Petrol,1,Automatic,990000,Third Party insurance,1197.0,Volkswagen,7,18.19,FWD,bangalore
Sedan,5.0,2018,30000,Petrol,1,Manual,750000,Third Party insurance,1496.0,Toyota,6,17.1,FWD,bangalore
Hatchback,5.0,2018,64374,Petrol,1,Automatic,755000,Third Party insurance,1199.0,Honda,5,19.0,FWD,bangalore
SUV,5.0,2021,30000,Diesel,1,Manual,1750000,Third Party insurance,1956.0,MG,6,17.41,FWD,bangalore
SUV,6.0,2022,7100,Petrol,1,Automatic,2082999,Comprehensive,1999.0,Hyundai,6,14.2,FWD,bangalore
Hatchback,5.0,2010,43679,Petrol,1,Manual,271000,Comprehensive,1086.0,Hyundai,5,19.81,FWD,bangalore
SUV,5.0,2018,40000,Petrol,1,Automatic,1280000,Third Party insurance,1591.0,Hyundai,6,14.8,FWD,bangalore
Hatchback,5.0,2012,40562,Diesel,1,Manual,436000,Third Party,1396.0,Hyundai,6,22.54,FWD,bangalore
SUV,5.0,2021,26500,Petrol,2,Automatic,1675000,Comprehensive,1397.0,Hyundai,7,18.9,FWD,bangalore
SUV,5.0,2019,20000,Petrol,1,Automatic,1250000,Third Party insurance,998.0,Hyundai,7,18.15,FWD,bangalore
SUV,7.0,2016,58600,Diesel,1,Automatic,1350000,Third Party insurance,2179.0,Mahindra,6,16.0,FWD,bangalore
SUV,5.0,2019,20000,Petrol,1,Automatic,1250000,Third Party insurance,998.0,Hyundai,7,18.15,FWD,bangalore
SUV,5.0,2020,42050,Petrol,1,Automatic,2225000,Comprehensive,1498.0,Volkswagen,7,18.4,FWD,bangalore
Hatchback,5.0,2015,65017,Petrol,1,Automatic,475000,Comprehensive,998.0,Maruti,5,23.1,FWD,bangalore
Sedan,5.0,2008,80000,Diesel,2,Automatic,600000,Third Party insurance,1995.0,BMW,6,13.2,FWD,bangalore
SUV,5.0,2021,30000,Petrol,1,Automatic,2450000,Third Party insurance,1368.0,Jeep,7,14.1,4WD,bangalore
SUV,5.0,2020,20000,Petrol,1,Automatic,1625000,Third Party insurance,1353.0,Kia,7,16.5,FWD,bangalore
